EnergyTarget,CO2Target,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,NumberofBuildings,NumberofFloors,PropertyGFAParking,BuildingAge,GFA_per_floor,BuildingGFARatio,LargestUseRatio,SecondUseRatio,ThirdUseRatio,BuildingType,PrimaryPropertyType,Neighborhood,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,BuildingAgeCat,SizeCategory,HasEnergyStarScore,UsesElectricity,UsesGas,UsesSteam
2682242.75,101.83,52000.0,0.0,0.0,,1.0,2,0,54,26000.0,1.0,1.0,0.0,0.0,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,2,2,0,1,0,1
20823520.0,490.73,296000.0,0.0,0.0,,1.0,2,0,88,131024.0,1.0,1.129564049334473,0.0,0.0,Nonresidential COS,Other,MAGNOLIA / QUEEN ANNE,No_Second_Use,No_Third_Use,3,4,0,1,0,1
38105108.0,674.09,729584.0,185014.0,6000.0,93.0,1.0,6,303707,6,153433.0,0.6700981318664607,0.7925109548358784,0.20097154241047666,0.0065175027536449135,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,Parking,Other,0,4,1,1,1,0
3647345.75,48.76,48546.0,21454.0,2406.0,68.0,1.0,4,25930,46,19053.25,0.6597693306916143,0.6369779433954837,0.28150053140540326,0.03156941729101334,NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,Parking,Other,2,3,1,1,1,0
5274523.0,152.14,59976.0,36934.0,0.0,56.0,1.0,6,36934,14,16151.666666666666,0.6188835001547828,0.6188835001547828,0.3811164998452172,0.0,NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,Parking,No_Third_Use,0,3,1,1,1,0
5528580.5,191.2,50017.0,0.0,0.0,53.0,2.0,4,0,54,12504.25,1.0,1.0,0.0,0.0,NonResidential,Hotel,NORTHEAST,Swimming Pool,No_Third_Use,2,2,1,1,1,0
3036464.0,78.85,67743.0,0.0,0.0,34.0,1.0,3,0,93,22581.0,1.0,1.0,0.0,0.0,NonResidential,K-12 School,EAST,No_Second_Use,No_Third_Use,3,3,1,1,1,0
7204080.0,243.23,194104.0,0.0,0.0,100.0,1.0,6,0,108,32350.666666666668,1.0,1.0,0.0,0.0,NonResidential,K-12 School,EAST,No_Second_Use,No_Third_Use,3,4,1,1,1,0
4980737.5,34.14,63681.0,35752.0,0.0,63.0,1.0,3,35752,13,33144.333333333336,0.6404413021833798,0.6404413021833798,0.35955869781662025,0.0,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,Parking,No_Third_Use,0,3,1,1,0,0
6367210.0,44.32,49000.0,0.0,0.0,,1.0,4,0,75,14130.25,1.0,0.8669344137577184,0.0,0.0,NonResidential,Other,NORTHEAST,No_Second_Use,No_Third_Use,3,2,0,1,0,0
4384625.5,133.58,119146.0,0.0,0.0,,1.0,2,0,87,103467.0,1.0,0.5757681193037394,0.0,0.0,NonResidential,Other,NORTHEAST,Parking,No_Third_Use,3,4,0,1,1,0
3616214.0,127.29,51390.0,0.0,0.0,89.0,1.0,4,0,15,12847.5,1.0,1.0,0.0,0.0,NonResidential,Hotel,NORTHWEST,Parking,No_Third_Use,0,2,1,1,1,0
